id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb,anio_inicio,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
20148,2022,Q,salud humana,15689959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,Q,20700954.0,145.0,7134986,7341904,78.0,67.0,145.0,90236,98981,25235,101922,0
20557,2022,Q,salud humana,7779763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,Q,6999981.0,97.0,2077947,2179695,85.0,14.0,99.0,24457,36697,7409,124239,93570
11815,2022,Q,salud humana,4593011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,Q,1539086.0,25.0,834020,834020,18.0,7.0,25.0,20491,77556,3190,5238,0
19940,2022,Q,salud humana,3758600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,Q,5344792.0,41.0,1083712,1192463,36.0,6.0,42.0,49279,99585,8102,42916,0
10170,2022,Q,salud humana,9776075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,Q,8249767.0,91.0,2990967,3081045,89.0,2.0,91.0,58568,49950,13784,355088,75
13623,2022,Q,salud humana,17085810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,Q,20219921.0,275.0,5700822,6082260,209.0,66.0,275.0,88902,92293,106281,325547,1320
11492,2022,Q,salud humana,148418360,236839,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1989,Q,182149209.0,907.0,35580244,36274210,624.0,283.0,907.0,1145777,445851,82656,560175,2181
13178,2022,Q,salud humana,63359228,165143,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1988,Q,85611600.0,561.0,18711223,19479026,474.0,87.0,561.0,148101,204585,97914,1162537,215
14074,2022,Q,salud humana,35678126,93241,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1993,Q,49617478.0,157.0,9706356,10035312,131.0,26.0,157.0,295210,5229987,8435,30479,0
10111,2022,Q,salud humana,35140861,88794,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1991,Q,43467763.0,154.0,8503625,9200559,119.0,35.0,154.0,348036,355180,137130,489119,2058
14996,2022,Q,salud humana,13900267,53252,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1994,Q,19966109.0,119.0,3197438,3388708,60.0,59.0,119.0,34165,1493354,22164,52613,0
